CustomerID,Age,Gender,City,Product,Category,Quantity,Price,PurchaseDate
1,55,Male,Kentucky,Blouse,Clothing,1,53,2026-01-01
2,19,Male,Maine,Sweater,Clothing,2,64,2026-01-02
3,50,Male,Massachusetts,Jeans,Clothing,3,73,2026-01-03
4,21,Male,Rhode Island,Sandals,Footwear,4,90,2026-01-04
5,45,Male,Oregon,Blouse,Clothing,5,49,2026-01-05
6,46,Male,Wyoming,Sneakers,Footwear,1,20,2026-01-06
7,63,Male,Montana,Shirt,Clothing,2,85,2026-01-07
8,27,Male,Louisiana,Shorts,Clothing,3,34,2026-01-08
9,26,Male,West Virginia,Coat,Outerwear,4,97,2026-01-09
10,57,Male,Missouri,Handbag,Accessories,5,31,2026-01-10
11,53,Male,Arkansas,Shoes,Footwear,1,34,2026-01-11
12,30,Male,Hawaii,Shorts,Clothing,2,68,2026-01-12
13,61,Male,Delaware,Coat,Outerwear,3,72,2026-01-13
14,65,Male,New Hampshire,Dress,Clothing,4,51,2026-01-14
15,64,Male,New York,Coat,Outerwear,5,53,2026-01-15
16,64,Male,Rhode Island,Skirt,Clothing,1,81,2026-01-16
17,25,Male,Alabama,Sunglasses,Accessories,2,36,2026-01-17
18,53,Male,Mississippi,Dress,Clothing,3,38,2026-01-18
19,52,Male,Montana,Sweater,Clothing,4,48,2026-01-19
20,66,Male,Rhode Island,Pants,Clothing,5,90,2026-01-20
21,21,Male,Louisiana,Pants,Clothing,1,51,2026-01-21
22,31,Male,North Carolina,Pants,Clothing,2,62,2026-01-22
23,56,Male,California,Pants,Clothing,3,37,2026-01-23
24,31,Male,Oklahoma,Pants,Clothing,4,88,2026-01-24
25,18,Male,Florida,Jacket,Outerwear,5,22,2026-01-25
26,18,Male,Texas,Hoodie,Clothing,1,25,2026-01-26
27,38,Male,Nevada,Jewelry,Accessories,2,20,2026-01-27
28,56,Male,Kentucky,Shorts,Clothing,3,56,2026-01-28
29,54,Male,North Carolina,Handbag,Accessories,4,94,2026-01-29
30,31,Male,Wyoming,Dress,Clothing,5,48,2026-01-30
31,57,Male,North Carolina,Jewelry,Accessories,1,31,2026-01-31
32,33,Male,West Virginia,Dress,Clothing,2,79,2026-02-01
33,36,Male,Kansas,Jacket,Outerwear,3,67,2026-02-02
34,54,Male,Colorado,Pants,Clothing,4,38,2026-02-03
35,36,Male,North Dakota,T-shirt,Clothing,5,91,2026-02-04
36,54,Male,Massachusetts,Blouse,Clothing,1,33,2026-02-05
37,35,Male,Illinois,T-shirt,Clothing,2,69,2026-02-06
38,35,Male,Indiana,Jeans,Clothing,3,45,2026-02-07
39,29,Male,Florida,Dress,Clothing,4,37,2026-02-08
40,70,Male,Arizona,Pants,Clothing,5,60,2026-02-09
41,69,Male,Louisiana,Handbag,Accessories,1,76,2026-02-10
42,67,Male,Alaska,Scarf,Accessories,2,39,2026-02-11
43,20,Male,Tennessee,Coat,Outerwear,3,100,2026-02-12
44,25,Male,Ohio,Scarf,Accessories,4,69,2026-02-13
45,39,Male,Kentucky,Hat,Accessories,5,53,2026-02-14
46,50,Male,Tennessee,Socks,Clothing,1,21,2026-02-15
47,57,Male,California,Shirt,Clothing,2,43,2026-02-16
48,55,Male,Montana,Jewelry,Accessories,3,54,2026-02-17
49,42,Male,Nevada,Shirt,Clothing,4,55,2026-02-18
50,68,Male,New Jersey,Hoodie,Clothing,5,30,2026-02-19
51,49,Male,Maryland,Blouse,Clothing,1,28,2026-02-20
52,59,Male,Vermont,Skirt,Clothing,2,59,2026-02-21
53,42,Male,Alaska,T-shirt,Clothing,3,20,2026-02-22
54,29,Male,Mississippi,Skirt,Clothing,4,24,2026-02-23
55,47,Male,New Mexico,Coat,Outerwear,5,94,2026-02-24
56,40,Male,South Carolina,Jacket,Outerwear,1,28,2026-02-25
57,41,Male,Mississippi,Backpack,Accessories,2,73,2026-02-26
58,21,Male,West Virginia,Coat,Outerwear,3,64,2026-02-27
